City_ID,City,Country,Max Temp,Current Descriptions,Lat,Lng,Hotel Name
265,Umluj,SA,77.56,clear sky,25.0213,37.2685,Moon light Furnished Units
269,Meulaboh,ID,75.06,overcast clouds,4.1363,96.1285,Kost Pria
271,Quang Ngai,VN,81.75,scattered clouds,15.1167,108.8,Central Hotel
273,Gizo Government Station,SB,84.94,broken clouds,-8.103,156.8419,Imagination Island
274,Yangi Marg`ilon,UZ,55.4,few clouds,40.4272,71.7189,Ikathouse
275,Porteirinha,BR,75.79,clear sky,-15.7433,-43.0283,Portal Palace Hotel
276,The Valley,AI,79.0,few clouds,18.217,-63.0578,CeBlue Villas & Beach Resort
277,Codrington,AU,57.88,overcast clouds,-38.2667,141.9667,Codrington Gardens Bed And Breakfast
278,Mīnāb,IR,75.2,haze,27.1467,57.0801,Bam campground
279,Knysna,ZA,57.2,overcast clouds,-34.0363,23.0471,Protea Hotel by Marriott Knysna Quays
280,Marabá,BR,75.02,overcast clouds,-5.3686,-49.1178,Hotel Del Principe
281,Biloela,AU,74.84,clear sky,-24.4167,150.5,Silo Motor Inn
283,Jorochito,BO,68.0,broken clouds,-18.05,-63.4333,Tom´s Hauss
284,Neturhāt,IN,67.62,few clouds,23.4833,84.2667,Hotel Verma
285,Qaryat Sulūq,LY,61.07,scattered clouds,31.6682,20.2521,منزل عبدالواحد خليفة الفاخري
287,Popondetta,PG,84.83,moderate rain,-8.7537,148.2534,Timos Transit House
290,Atlantic Beach,US,66.2,clear sky,30.3344,-81.3987,One Ocean Resort & Spa
291,Ilhabela,BR,70.2,scattered clouds,-23.7781,-45.3581,Ilha Flat Hotel
294,Ganzhou,CN,61.43,light rain,28.8184,115.4327,Laotou Farm Restaurant Hostel
295,Wanning,CN,80.82,broken clouds,18.8003,110.3967,Paradise Hotel
296,Pathein,MM,79.79,scattered clouds,16.7833,94.7333,New Pammawaddy Hotel
297,Mingyue,CN,49.77,clear sky,43.1069,128.9217,安图土地大厦
298,Kīhei,US,82.4,scattered clouds,20.785,-156.4656,Maui Sunset
300,Ascension,US,82.4,clear sky,30.2169,-90.9001,Highland Inn
301,Saldanha,ZA,57.2,overcast clouds,-33.0117,17.9442,Blue Bay Lodge
302,Llanes,ES,63.0,overcast clouds,43.4198,-4.7549,Hotel La Paz
304,Yurimaguas,PE,79.21,overcast clouds,-5.9,-76.0833,Rio Huallaga Hotel & Business Center
306,Ilulissat,GL,46.4,few clouds,69.2167,-51.1,Hotel Arctic
307,Itarema,BR,78.4,overcast clouds,-2.9248,-39.9167,"Sea Lounge! Bar, Club & Restaurant"
309,Japura,ID,73.76,overcast clouds,-0.3167,102.35,Rumah mbah Jamah
310,Labuan,MY,80.6,few clouds,5.2767,115.2417,Tiara Labuan Hotel
312,Kermanshah,IR,48.2,clear sky,34.3142,47.065,Sina Hotel
314,Deori Khās,IN,79.12,broken clouds,23.4,79.0167,SAMARPAD COMPUTER DEORI
315,Bowen,AU,77.0,overcast clouds,-20.0167,148.2333,Castle Motor Lodge Motel
316,Necochea,AR,59.0,scattered clouds,-38.5473,-58.7368,dyd -mar Hotel
317,Ormara,PK,79.63,clear sky,25.2088,64.6357,Crystal Beach and Camping Resort Ormara
318,Río Gallegos,AR,48.2,clear sky,-51.6226,-69.2181,Hotel Santa Cruz
319,Gunjur,GM,68.0,clear sky,13.2019,-16.7339,Kuba Lodge
322,Paris,FR,53.01,clear sky,48.8534,2.3488,Hôtel Britannique - Paris Centre
324,Bayir,TR,64.4,broken clouds,37.2687,28.2167,Hotel Babadag
325,Bathsheba,BB,78.8,scattered clouds,13.2167,-59.5167,Atlantis Hotel
326,Pedernales,DO,79.95,scattered clouds,18.0384,-71.744,Hotel Costa Marina
327,Yulara,AU,66.2,clear sky,-25.2406,130.9889,Desert Gardens Hotel - Ayers Rock Resort
329,Portland,US,54.0,overcast clouds,45.5234,-122.6762,Embassy Suites by Hilton Portland Downtown
332,Erenhot,CN,57.33,overcast clouds,43.6475,111.9767,Erenhot Rurouni Youth Hostel
334,Chikwawa,MW,68.63,broken clouds,-16.0335,34.8009,Thawale Lodge
338,Cuamba,MZ,64.38,scattered clouds,-14.8031,36.5372,Hotel Vision
339,Jaora,IN,80.87,overcast clouds,23.6333,75.1333,Hotel celebration
341,Pindwāra,IN,75.58,clear sky,24.8,73.0667,Arbuda tour and travels
342,Kupang,ID,80.24,clear sky,-10.1667,123.5833,Hotel On The Rock by Prasanthi
344,Cedar City,US,66.2,clear sky,37.6775,-113.0619,Hampton Inn Cedar City
345,Riyadh,SA,78.8,clear sky,24.6877,46.7219,"InterContinental Riyadh, an IHG Hotel"
