City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
215,Wagar,SD,2021-04-24 19:21:33,16.1525,36.2032,90.72,27,34,20.92
216,Pangnirtung,CA,2021-04-24 19:21:33,66.1451,-65.7125,33.8,80,1,8.05
217,Tarko-Sale,RU,2021-04-24 19:19:04,64.9225,77.785,34.0,89,100,6.44
218,Hasaki,JP,2021-04-24 19:21:34,35.7333,140.8333,48.2,93,20,4.61
219,Le Mars,US,2021-04-24 19:21:34,42.7942,-96.1656,51.8,24,1,11.5
220,Muisne,EC,2021-04-24 19:21:34,0.6,-80.0333,86.0,79,20,4.61
221,Goderich,CA,2021-04-24 19:21:35,43.7501,-81.7165,57.2,38,100,4.61
222,Pingliang,CN,2021-04-24 19:21:35,35.5392,106.6861,45.86,89,100,2.57
223,Maniitsoq,GL,2021-04-24 19:18:08,65.4167,-52.9,39.27,72,3,2.71
224,Kjopsvik,NO,2021-04-24 19:21:36,68.097,16.3742,36.0,75,90,10.36
225,Hambantota,LK,2021-04-24 19:21:36,6.1241,81.1185,77.0,100,20,2.3
226,Pakxan,LA,2021-04-24 19:21:36,18.3778,103.6601,83.7,59,98,2.13
227,Jizan,SA,2021-04-24 19:21:37,17.3333,42.6667,86.0,45,40,16.11
228,Cidreira,BR,2021-04-24 19:21:37,-30.1811,-50.2056,73.62,72,8,12.46
229,Trnava,SK,2021-04-24 19:21:37,48.3774,17.5872,50.0,53,0,4.61
230,Ngawi,ID,2021-04-24 19:21:38,-7.4038,111.4461,73.02,89,3,3.49
231,Hovd,MN,2021-04-24 19:21:38,48.0056,91.6419,26.13,21,16,15.86
232,Zapolyarnyy,RU,2021-04-24 19:21:39,69.4154,30.8136,32.0,93,90,16.11
233,Qaanaaq,GL,2021-04-24 19:21:39,77.484,-69.3632,27.73,69,93,6.49
234,Castanos,MX,2021-04-24 19:21:39,26.7833,-101.4167,84.63,10,0,6.91
235,Nanortalik,GL,2021-04-24 19:21:40,60.1432,-45.2371,41.86,74,100,8.1
236,Faanui,PF,2021-04-24 19:17:21,-16.4833,-151.75,80.44,73,100,9.69
237,Luwuk,ID,2021-04-24 19:21:40,-0.9516,122.7875,77.72,76,99,4.05
238,Sao Filipe,CV,2021-04-24 19:21:41,14.8961,-24.4956,72.23,74,55,13.67
239,Kargasok,RU,2021-04-24 19:21:41,59.0556,80.8572,35.73,96,100,4.85
240,Warwick,US,2021-04-24 19:20:26,41.7001,-71.4162,73.0,18,20,16.11
241,Flin Flon,CA,2021-04-24 19:20:32,54.7682,-101.865,30.2,37,75,6.67
242,Gikongoro,RW,2021-04-24 19:21:42,-2.464,29.5739,59.14,93,100,2.62
243,Srivardhan,IN,2021-04-24 19:21:42,18.0333,73.0167,80.11,73,94,8.19
244,Monte Alegre,BR,2021-04-24 19:21:43,-2.0078,-54.0692,86.56,63,32,3.87
245,Chokurdakh,RU,2021-04-24 19:21:43,70.6333,147.9167,-13.83,97,5,4.36
246,Brae,GB,2021-04-24 19:21:43,60.3964,-1.353,42.8,75,40,10.36
247,Inirida,CO,2021-04-24 19:21:44,3.8653,-67.9239,84.88,78,97,0.81
248,Kaili,ID,2021-04-24 19:21:44,-3.4626,120.2147,65.44,90,82,3.78
249,Castro,BR,2021-04-24 19:21:44,-24.7911,-50.0119,72.99,53,65,5.08
250,North Platte,US,2021-04-24 19:20:11,41.1239,-100.7654,55.4,47,40,5.75
251,Akhisar,TR,2021-04-24 19:21:45,38.9185,27.8401,57.99,94,100,6.73
252,Labuhan,ID,2021-04-24 19:17:54,-6.8844,112.2051,77.34,83,7,5.55
253,Gidam,IN,2021-04-24 19:21:46,18.9833,81.4,79.43,21,0,2.66
254,Saskylakh,RU,2021-04-24 19:20:09,71.9167,114.0833,31.57,92,96,12.03
255,Aksu,CN,2021-04-24 19:21:46,41.1231,80.2644,56.21,30,6,4.47
256,Sosnovka,RU,2021-04-24 19:21:47,56.255,51.2842,42.57,96,100,5.99
257,Soverato,IT,2021-04-24 19:21:47,38.685,16.5499,57.2,77,20,6.91
258,Malinyi,TZ,2021-04-24 19:21:47,-8.9333,36.1333,70.9,97,100,0.72
259,Shenjiamen,CN,2021-04-24 19:21:48,29.9576,122.298,61.0,89,99,5.55
260,Trinidad,BO,2021-04-24 19:21:48,-14.8333,-64.9,78.8,94,75,8.05
261,Khao Wong,TH,2021-04-24 19:21:49,16.7001,104.0902,88.0,99,67,7.14
262,Aguimes,ES,2021-04-24 19:21:49,27.9054,-15.4461,69.01,77,75,14.97
263,Kemijarvi,FI,2021-04-24 19:21:49,66.7131,27.4306,32.74,95,100,8.55
264,Grindavik,IS,2021-04-24 19:21:50,63.8424,-22.4338,44.6,93,90,21.85
265,Felipe Carrillo Puerto,MX,2021-04-24 19:21:50,19.5833,-88.05,94.6,31,88,10.09
266,Limbang,MY,2021-04-24 19:21:50,4.75,115.0,77.0,94,75,1.14
267,Carutapera,BR,2021-04-24 19:21:51,-1.195,-46.02,81.97,78,100,5.79
268,Moerai,PF,2021-04-24 19:21:51,-22.4333,-151.3333,76.08,67,69,14.52
269,De Aar,ZA,2021-04-24 19:21:52,-30.6497,24.0123,66.31,24,57,8.61
270,Lesozavodsk,RU,2021-04-24 19:21:52,45.4794,133.4244,35.64,45,73,5.57
271,Huilong,CN,2021-04-24 19:21:52,31.8111,121.655,64.99,94,100,6.8
272,Port Elizabeth,ZA,2021-04-24 19:21:53,-33.918,25.5701,57.2,100,0,8.05
273,Salto,UY,2021-04-24 19:21:53,-31.3833,-57.9667,70.0,73,75,14.97
274,Necochea,AR,2021-04-24 19:21:54,-38.5473,-58.7368,61.0,74,85,11.01
275,Provideniya,RU,2021-04-24 19:21:54,64.3833,-173.3,35.51,83,99,0.92
276,Laguna,US,2021-04-24 19:21:54,38.421,-121.4238,68.0,37,20,10.36
277,Aklavik,CA,2021-04-24 19:21:55,68.2191,-135.0107,37.4,52,20,2.3
278,Ahipara,NZ,2021-04-24 19:21:55,-35.1667,173.1667,58.42,80,27,8.41
279,Nuevo Progreso,MX,2021-04-24 19:21:56,23.1667,-97.95,93.99,50,56,15.99
280,Ekhabi,RU,2021-04-24 19:21:56,53.5102,142.9671,22.3,85,88,9.82
281,Saint Helens,GB,2021-04-24 19:19:03,53.45,-2.7333,60.8,44,20,10.36
282,East London,ZA,2021-04-24 19:21:56,-33.0153,27.9116,64.4,88,0,5.75
283,Rawson,AR,2021-04-24 19:21:57,-43.3002,-65.1023,60.51,45,14,0.74
